Source,Target,Weight,Type
dontsova__01_Букет_прекрасных_дам,dontsova__07_Микстура_от_косоглазия,5,undirected
dontsova__01_Букет_прекрасных_дам,dontsova__10_Спят_усталые_игрушки,2,undirected
dontsova__01_Букет_прекрасных_дам,dontsova__13_Муха_в_самолете,1,undirected
dontsova__03-Дама-с-коготками,dontsova__06_Созвездие_жадных_псов,2,undirected
dontsova__03-Дама-с-коготками,dontsova__09-Бассейн-с-крокодилами,4,undirected
dontsova__03-Дама-с-коготками,dontsova__10_Спят_усталые_игрушки,5,undirected
dontsova__03_Инь,_янь_и_всякая_дрянь,dontsova__04_Клеопатра_с_парашютом,3,undirected
dontsova__03_Инь,_янь_и_всякая_дрянь,dontsova__18_Безумная_кепка_Мономаха,3,undirected
dontsova__03_Инь,_янь_и_всякая_дрянь,dontsova__18_Зимнее_лето_весны,3,undirected
dontsova__03_Инь,_янь_и_всякая_дрянь,dontsova__22_Астральное_тело_холостяка,1,undirected
dontsova__03_Инь,_янь_и_всякая_дрянь,dontsova__27_Император_деревни_Гадюкино,4,undirected
dontsova__04_Клеопатра_с_парашютом,dontsova__03_Инь,_янь_и_всякая_дрянь,3,undirected
dontsova__04_Клеопатра_с_парашютом,dontsova__18_Безумная_кепка_Мономаха,1,undirected
dontsova__04_Клеопатра_с_парашютом,dontsova__22_Астральное_тело_холостяка,2,undirected
dontsova__04_Клеопатра_с_парашютом,dontsova__27_Император_деревни_Гадюкино,6,undirected
dontsova__04_Клеопатра_с_парашютом,dontsova__27_Страстная_ночь_в_зоопарке,2,undirected
dontsova__04_Клеопатра_с_парашютом,dontsova__40_Тормоза_для_блудного_мужа,4,undirected
dontsova__04_Клеопатра_с_парашютом,dontsova__47-Самовар-с-шампанским,2,undirected
dontsova__06_Созвездие_жадных_псов,dontsova__03-Дама-с-коготками,2,undirected
dontsova__06_Созвездие_жадных_псов,dontsova__09-Бассейн-с-крокодилами,1,undirected
dontsova__06_Созвездие_жадных_псов,dontsova__10_Спят_усталые_игрушки,2,undirected
dontsova__06_Созвездие_жадных_псов,dontsova__13_Муха_в_самолете,4,undirected
dontsova__06_Созвездие_жадных_псов,ustinova__Девчонки,_я_приехал!,1,undirected
dontsova__07_Микстура_от_косоглазия,dontsova__01_Букет_прекрасных_дам,5,undirected
dontsova__07_Микстура_от_косоглазия,dontsova__13_Муха_в_самолете,5,undirected
dontsova__07_Микстура_от_косоглазия,dontsova__18_Зимнее_лето_весны,1,undirected
dontsova__09-Бассейн-с-крокодилами,dontsova__03-Дама-с-коготками,4,undirected
dontsova__09-Бассейн-с-крокодилами,dontsova__06_Созвездие_жадных_псов,1,undirected
dontsova__09-Бассейн-с-крокодилами,dontsova__10_Спят_усталые_игрушки,6,undirected
dontsova__10_Спят_усталые_игрушки,dontsova__01_Букет_прекрасных_дам,2,undirected
dontsova__10_Спят_усталые_игрушки,dontsova__03-Дама-с-коготками,5,undirected
dontsova__10_Спят_усталые_игрушки,dontsova__06_Созвездие_жадных_псов,2,undirected
dontsova__10_Спят_усталые_игрушки,dontsova__09-Бассейн-с-крокодилами,6,undirected
dontsova__10_Спят_усталые_игрушки,dontsova__18_Безумная_кепка_Мономаха,1,undirected
dontsova__13_Муха_в_самолете,dontsova__01_Букет_прекрасных_дам,1,undirected
dontsova__13_Муха_в_самолете,dontsova__06_Созвездие_жадных_псов,4,undirected
dontsova__13_Муха_в_самолете,dontsova__07_Микстура_от_косоглазия,5,undirected
dontsova__13_Муха_в_самолете,dontsova__18_Зимнее_лето_весны,6,undirected
dontsova__18_Безумная_кепка_Мономаха,dontsova__03_Инь,_янь_и_всякая_дрянь,3,undirected
dontsova__18_Безумная_кепка_Мономаха,dontsova__04_Клеопатра_с_парашютом,1,undirected
dontsova__18_Безумная_кепка_Мономаха,dontsova__10_Спят_усталые_игрушки,1,undirected
dontsova__18_Безумная_кепка_Мономаха,dontsova__18_Зимнее_лето_весны,2,undirected
dontsova__18_Зимнее_лето_весны,dontsova__03_Инь,_янь_и_всякая_дрянь,3,undirected
dontsova__18_Зимнее_лето_весны,dontsova__07_Микстура_от_косоглазия,1,undirected
dontsova__18_Зимнее_лето_весны,dontsova__13_Муха_в_самолете,6,undirected
dontsova__18_Зимнее_лето_весны,dontsova__18_Безумная_кепка_Мономаха,2,undirected
dontsova__18_Зимнее_лето_весны,dontsova__27_Император_деревни_Гадюкино,1,undirected
dontsova__22_Астральное_тело_холостяка,dontsova__03_Инь,_янь_и_всякая_дрянь,1,undirected
dontsova__22_Астральное_тело_холостяка,dontsova__04_Клеопатра_с_парашютом,2,undirected
dontsova__22_Астральное_тело_холостяка,dontsova__47_Гиблое_место_в_ипотеку,3,undirected
dontsova__27_Император_деревни_Гадюкино,dontsova__03_Инь,_янь_и_всякая_дрянь,4,undirected
dontsova__27_Император_деревни_Гадюкино,dontsova__04_Клеопатра_с_парашютом,6,undirected
dontsova__27_Император_деревни_Гадюкино,dontsova__18_Зимнее_лето_весны,1,undirected
dontsova__27_Император_деревни_Гадюкино,dontsova__27_Страстная_ночь_в_зоопарке,5,undirected
dontsova__27_Император_деревни_Гадюкино,dontsova__40_Тормоза_для_блудного_мужа,3,undirected
dontsova__27_Страстная_ночь_в_зоопарке,dontsova__04_Клеопатра_с_парашютом,2,undirected
dontsova__27_Страстная_ночь_в_зоопарке,dontsova__27_Император_деревни_Гадюкино,5,undirected
dontsova__27_Страстная_ночь_в_зоопарке,dontsova__32_Бегемот_под_майонезом,1,undirected
dontsova__27_Страстная_ночь_в_зоопарке,dontsova__40_Тормоза_для_блудного_мужа,2,undirected
dontsova__32_Бегемот_под_майонезом,dontsova__27_Страстная_ночь_в_зоопарке,1,undirected
dontsova__32_Бегемот_под_майонезом,dontsova__39_Шуры-муры_с_призраком,2,undirected
dontsova__32_Бегемот_под_майонезом,dontsova__47_Гиблое_место_в_ипотеку,6,undirected
dontsova__39_Шуры-муры_с_призраком,dontsova__32_Бегемот_под_майонезом,2,undirected
dontsova__39_Шуры-муры_с_призраком,dontsova__44_Бинокль_для_всевидящего_ока,3,undirected
dontsova__39_Шуры-муры_с_призраком,dontsova__47-Самовар-с-шампанским,6,undirected
dontsova__39_Шуры-муры_с_призраком,dontsova__47_Гиблое_место_в_ипотеку,4,undirected
dontsova__40_Тормоза_для_блудного_мужа,dontsova__04_Клеопатра_с_парашютом,4,undirected
dontsova__40_Тормоза_для_блудного_мужа,dontsova__27_Император_деревни_Гадюкино,3,undirected
dontsova__40_Тормоза_для_блудного_мужа,dontsova__27_Страстная_ночь_в_зоопарке,2,undirected
dontsova__44_Бинокль_для_всевидящего_ока,dontsova__39_Шуры-муры_с_призраком,3,undirected
dontsova__44_Бинокль_для_всевидящего_ока,dontsova__47-Самовар-с-шампанским,4,undirected
dontsova__44_Бинокль_для_всевидящего_ока,dontsova__47_Гиблое_место_в_ипотеку,2,undirected
dontsova__47-Самовар-с-шампанским,dontsova__04_Клеопатра_с_парашютом,2,undirected
dontsova__47-Самовар-с-шампанским,dontsova__39_Шуры-муры_с_призраком,6,undirected
dontsova__47-Самовар-с-шампанским,dontsova__44_Бинокль_для_всевидящего_ока,4,undirected
dontsova__47_Гиблое_место_в_ипотеку,dontsova__22_Астральное_тело_холостяка,3,undirected
dontsova__47_Гиблое_место_в_ипотеку,dontsova__32_Бегемот_под_майонезом,6,undirected
dontsova__47_Гиблое_место_в_ипотеку,dontsova__39_Шуры-муры_с_призраком,4,undirected
dontsova__47_Гиблое_место_в_ипотеку,dontsova__44_Бинокль_для_всевидящего_ока,2,undirected
marinina__03_Оборванные_нити,marinina__05_Все_не_так,2,undirected
marinina__03_Оборванные_нити,marinina__05_Смерть_ради_смерти,4,undirected
marinina__03_Оборванные_нити,marinina__21_Седьмая_жертва,5,undirected
marinina__03_Оборванные_нити,marinina__35_Отдаленные_последствия._Том_1,6,undirected
marinina__03_Оборванные_нити,traub__Маша_Трауб_-_Посмотри_на_меня_-_2021,2,undirected
marinina__03_Оборванные_нити,traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,3,undirected
marinina__03_Оборванные_нити,ustinova__Жизнь,_по_слухам,_одна!,2,undirected
marinina__05_Все_не_так,marinina__03_Оборванные_нити,2,undirected
marinina__05_Все_не_так,marinina__21_Седьмая_жертва,1,undirected
marinina__05_Все_не_так,marinina__35_Отдаленные_последствия._Том_1,3,undirected
marinina__05_Смерть_ради_смерти,marinina__03_Оборванные_нити,4,undirected
