id,автор,название,серия,series_code,год,series_slug,имя_файла,путь_исходник,путь
viola_050,Дарья Донцова,Алые паруса Синей бороды,Виола Тараканова,ВТ,2022,viola,ВТ_Алые паруса Синей бороды.txt,txt ВиолаТараканова/50 Алые паруса Синей бороды.txt,viola/ВТ_Алые паруса Синей бороды.txt
viola_015,Дарья Донцова,Билет на ковер-вертолет,Виола Тараканова,ВТ,2006,viola,ВТ_Билет на ковер-вертолет.txt,txt ВиолаТараканова/15 Билет на ковер-вертолет.txt,viola/ВТ_Билет на ковер-вертолет.txt
viola_044,Дарья Донцова,Бинокль для всевидящего ока,Виола Тараканова,ВТ,2019,viola,ВТ_Бинокль для всевидящего ока.txt,txt ВиолаТараканова/44 Бинокль для всевидящего ока.txt,viola/ВТ_Бинокль для всевидящего ока.txt
viola_045,Дарья Донцова,Блеск и нищета инстаграма,Виола Тараканова,ВТ,2020,viola,ВТ_Блеск и нищета инстаграма.txt,txt ВиолаТараканова/45 Блеск и нищета инстаграма.txt,viola/ВТ_Блеск и нищета инстаграма.txt
viola_053,Дарья Донцова,Буря в стакане беды,Виола Тараканова,ВТ,2024,viola,ВТ_Буря в стакане беды.txt,txt ВиолаТараканова/53 Буря в стакане беды.txt,viola/ВТ_Буря в стакане беды.txt
viola_039,Дарья Донцова,В когтях у сказки,Виола Тараканова,ВТ,2016,viola,ВТ_В когтях у сказки.txt,txt ВиолаТараканова/39 В когтях у сказки.txt,viola/ВТ_В когтях у сказки.txt
viola_043,Дарья Донцова,Вечный двигатель маразма,Виола Тараканова,ВТ,2018,viola,ВТ_Вечный двигатель маразма.txt,txt ВиолаТараканова/43 Вечный двигатель маразма.txt,viola/ВТ_Вечный двигатель маразма.txt
viola_038,Дарья Донцова,Вставная челюсть Щелкунчика,Виола Тараканова,ВТ,2016,viola,ВТ_Вставная челюсть Щелкунчика.txt,txt ВиолаТараканова/38 Вставная челюсть Щелкунчика.txt,viola/ВТ_Вставная челюсть Щелкунчика.txt
viola_042,Дарья Донцова,Гимназия неблагородных девиц,Виола Тараканова,ВТ,2018,viola,ВТ_Гимназия неблагородных девиц.txt,txt ВиолаТараканова/42 Гимназия неблагородных девиц.txt,viola/ВТ_Гимназия неблагородных девиц.txt
viola_009,Дарья Донцова,Главбух и полцарства в придачу,Виола Тараканова,ВТ,2004,viola,ВТ_Главбух и полцарства в придачу.txt,txt ВиолаТараканова/09 Главбух и полцарства в придачу.txt,viola/ВТ_Главбух и полцарства в придачу.txt
viola_022,Дарья Донцова,Горячая любовь снеговика,Виола Тараканова,ВТ,2008,viola,ВТ_Горячая любовь снеговика.txt,txt ВиолаТараканова/22 Горячая любовь снеговика.txt,viola/ВТ_Горячая любовь снеговика.txt
viola_054,Дарья Донцова,Дезертир из рая,Виола Тараканова,ВТ,2024,viola,ВТ_Дезертир из рая.txt,txt ВиолаТараканова/54 Дезертир из рая.txt,viola/ВТ_Дезертир из рая.txt
viola_029,Дарья Донцова,Дьявол носит лапти,Виола Тараканова,ВТ,2011,viola,ВТ_Дьявол носит лапти.txt,txt ВиолаТараканова/29 Дьявол носит лапти.txt,viola/ВТ_Дьявол носит лапти.txt
viola_034,Дарья Донцова,Завещание рождественской утки,Виола Тараканова,ВТ,2013,viola,ВТ_Завещание рождественской утки.txt,txt ВиолаТараканова/34 Завещание рождественской утки.txt,viola/ВТ_Завещание рождественской утки.txt
viola_041,Дарья Донцова,Закон молодильного яблочка,Виола Тараканова,ВТ,2017,viola,ВТ_Закон молодильного яблочка.txt,txt ВиолаТараканова/41 Закон молодильного яблочка.txt,viola/ВТ_Закон молодильного яблочка.txt
