id,series_code,серия,название,год,имя_файла,путь_исходник,путь_clean,слова_clean,токены_clean,строки_clean,символы_clean,токены_исходник,доля_токенов_сохранено,короткий_текст,для_сравнения,повреждена_очисткой
podushkin_040,ИП,Иван Подушкин,Цикл Джентльмен сыска Иван Подушкин. Книги 1-27,2002,ИП_Цикл Джентльмен сыска Иван Подушкин. Книги 1-27.txt,txt ИванПодушкин/Цикл Джентльмен сыска Иван Подушкин. Книги 1-27.txt,podushkin/ИП_Цикл Джентльмен сыска Иван Подушкин. Книги 1-27.txt,0,0,0,0,1813641,0.0,,,да
viola_055,ВТ,Виола Тараканова,Балерина в бахилах,2008,ВТ_Балерина в бахилах.txt,txt ВиолаТараканова/Балерина в бахилах.txt,viola/ВТ_Балерина в бахилах.txt,5137,4699,289,32313,4754,0.988,да,,
sergeeva_042,ТС,Татьяна Сергеева,Секретное женское оружие,2010,ТС_Секретное женское оружие.txt,txt ТатьянаСергеева/Секретное женское оружие.txt,sergeeva/ТС_Секретное женское оружие.txt,5509,5202,240,36405,5218,0.997,да,,
sergeeva_041,ТС,Татьяна Сергеева,Рождественский кролик,2011,ТС_Рождественский кролик.txt,txt ТатьянаСергеева/Рождественский кролик.txt,sergeeva/ТС_Рождественский кролик.txt,5823,5412,242,36520,5511,0.982,да,,
podushkin_039,ИП,Иван Подушкин,Подарок для бабушки,2015,ИП_Подарок для бабушки.txt,txt ИванПодушкин/Подарок для бабушки.txt,podushkin/ИП_Подарок для бабушки.txt,6674,6408,231,43382,6505,0.985,да,,
sergeeva_040,ТС,Татьяна Сергеева,Белка с часами,2008,ТС_Белка с часами.txt,txt ТатьянаСергеева/Белка с часами.txt,sergeeva/ТС_Белка с часами.txt,7454,7029,287,46864,7044,0.998,да,,
evlampia_063,ЕР,Евлампия Романова,Ключ от денег,2007,ЕР_Ключ от денег.txt,txt ЕвлампияРоманова/Ключ от денег.txt,evlampia/ЕР_Ключ от денег.txt,7822,7166,449,48497,7205,0.995,да,,
dasha_078,ДВ,Даша Васильева,Настоящая рождественская сказка,2005,ДВ_Настоящая рождественская сказка.txt,txt ДашаВасильева/Настоящая рождественская сказка.txt,dasha/ДВ_Настоящая рождественская сказка.txt,7590,7200,312,48199,7239,0.995,да,,
dasha_079,ДВ,Даша Васильева,Эскимос с Марса,2009,ДВ_Эскимос с Марса.txt,txt ДашаВасильева/Эскимос с Марса.txt,dasha/ДВ_Эскимос с Марса.txt,8831,8045,513,55735,8104,0.993,да,,
sergeeva_002,ТС,Татьяна Сергеева,Британец китайского производства. Народный детектив,2005,ТС_Британец китайского производства. Народный детектив.txt,txt ТатьянаСергеева/02 Британец китайского производства. Народный детектив.txt,sergeeva/ТС_Британец китайского производства. Народный детектив.txt,14236,13550,657,89532,13633,0.994,,,
