"","Донцова 2002 Букет прекрасных дам","Донцова 1999 Дама с коготками","Донцова 2008 Инь, янь и всякая дрянь","Донцова 2012 Клеопатра с парашютом","Донцова 2001 Созвездие жадных псов","Донцова 2003 Микстура от косоглазия","Донцова 2000 Бассейн с крокодилами","Донцова 2000 Спят усталые игрушки","Донцова 2005 Муха в самолёте","Донцова 2006 Безумная кепка Мономаха","Донцова 2007 Зимнее лето весны","Донцова 2017 Астральное тело холостяка","Донцова 2009 Император деревни Гадюкино","Донцова 2010 Страстная ночь в зоопарке","Донцова 2022 Бегемот под майонезом","Донцова 2015 Шуры муры с призраком","Донцова 2011 Тормоза для блудного мужа","Донцова 2019 Бинокль для всевидящего ока","Донцова 2014 Самовар с шампанским","Донцова 2019 Гиблое место в ипотеку","Маринина 2013 Оборванные нити. Том 3","Маринина 2007 Всё не так","Маринина 1995 Смерть ради смерти","Маринина 2000 Седьмая жертва","Маринина 2021 Отдалённые последствия. Том 1","Полякова 2008 Испанская легенда","Полякова 1999 Капкан на спонсора","Полякова 2001 Неопознанный ходячий объект","Полякова 2020 Четыре всадника раздора","Полякова 2012 Я смотрю на тебя издали","Трауб 2012 Замочная скважина","Трауб 2010 Плохая мать","Трауб 2021 Посмотри на меня","Трауб 2016 Продаётся дом с дедушкой","Трауб 2006 Собирайся, мы уезжаем","Устинова 2003 Близкие люди","Устинова 2021 Девчонки, я приехал","Устинова 2008 Жизнь, по слухам, одна!","Устинова 2012 Один день, одна ночь","Устинова 1999 Персональный ангел"
"Донцова 2002 Букет прекрасных дам",0,0.682344581653782,0.588124666637194,0.75435318573761,0.597648905110569,0.531890657685755,0.686852733653443,0.628489385633151,0.557179103835481,0.681739084966053,0.676336325890833,0.682869759988872,0.744276074638256,0.838999147309248,0.901293194747247,0.823159319416964,0.888039533453227,0.871239492753918,0.804316764253718,0.850186113396699,1.22699704861387,1.35820529183399,1.13860475783993,1.12252874855935,1.17126943165921,1.30860053958669,1.10475184765143,1.26820922967935,1.18183989934256,1.12517648842775,1.29512073132891,1.22014129628521,1.43840674872611,1.39863353532567,1.19971479814301,1.27971737867565,1.14838168424801,1.3053393323002,1.26376605436633,1.31296106375704
"Донцова 1999 Дама с коготками",0.682344581653782,0,0.789124021195238,0.84969796128164,0.625909372833242,0.830571998038499,0.522215884506088,0.526488948274228,0.827909125848571,0.789129365628036,0.8812465074079,0.835796280473152,0.782775979896014,0.895174152282391,1.04497281022912,0.990073328386943,1.00253844079165,1.04351192305149,0.979041073035573,1.03764937597565,1.36048155396488,1.58334490782397,1.3453628633678,1.2444659268652,1.24566796733995,1.32515412536824,1.16051212801486,1.19039750527275,1.41680493216837,1.17109298734714,1.35991259367369,1.30848058683898,1.50073502444127,1.53374634438889,1.21403690795693,1.40915133655531,1.1520057118367,1.52592603718329,1.38890850202059,1.42198638726327
"Донцова 2008 Инь, янь и всякая дрянь",0.588124666637194,0.789124021195238,0,0.530155122446149,0.710115039657032,0.603455760711704,0.759830761138873,0.680476192422501,0.528898848600443,0.531480611922426,0.47273792074669,0.596946732138661,0.506233791281699,0.533270777364701,0.803345366818828,0.621903316704672,0.649410744149222,0.644542410346128,0.621288184405963,0.6953877503402,1.1822255343588,1.39257246660694,1.09805227837616,1.06133368888056,1.06151163436359,1.26383817289682,0.987095228911099,1.1072929285975,1.09900311942027,1.01370709869431,1.34786303297882,1.20655035949939,1.47206197434379,1.34992308666061,1.19087671923354,1.37748205976602,1.15699707911941,1.50232651179497,1.2914710126274,1.34978293072754
"Донцова 2012 Клеопатра с парашютом",0.75435318573761,0.84969796128164,0.530155122446149,0,0.781704818384537,0.727024882816478,0.893991550316554,0.807943650936503,0.6388502649554,0.678706819856923,0.610047498268139,0.685044406381421,0.482379190033098,0.480227038844347,0.74922024527234,0.651037630308071,0.540691307398543,0.717462219862643,0.514830501329552,0.725184888560164,1.23528219201607,1.31255217665679,1.1705181008001,1.08086625147958,1.17553450724481,1.29438108826462,1.0810243986782,1.22407071471072,1.1933379236711,0.996998219038826,1.27055805351258,1.13586860150548,1.39439073012318,1.42113113328873,1.20384977130988,1.3156831646451,1.19831772404713,1.43137586041006,1.30028898407391,1.24355250425858
"Донцова 2001 Созвездие жадных псов",0.597648905110569,0.625909372833242,0.710115039657032,0.781704818384537,0,0.632815398048139,0.596854934608427,0.56626322018244,0.623381873708739,0.591712436288638,0.670093414003373,0.759570595963954,0.73466574794399,0.827676865038778,0.96204377396554,0.851816952051103,0.927380237275879,0.888501405949008,0.829864231790015,0.924464492603072,1.22213909896141,1.41631399789371,1.26025524301857,1.16493854720364,1.12933609679934,1.28986928623517,1.06231521690503,1.09359217680283,1.25769905074543,1.06456707887992,1.33804270692415,1.18760394335535,1.46796314744039,1.38878730501899,1.19713908619765,1.25241176725039,1.08230448861712,1.31817816275267,1.20703164593657,1.3529029231835
"Донцова 2003 Микстура от косоглазия",0.531890657685755,0.830571998038499,0.603455760711704,0.727024882816478,0.632815398048139,0,0.827252929516224,0.790172707745146,0.500879343349294,0.608930611194027,0.637744411038987,0.797872046697757,0.833397068255137,0.873234438104306,1.00056297241155,0.862553235190728,0.864624778628056,0.823127351495265,0.841358903605623,0.854226043183089,1.30089516633939,1.33414180247987,1.19778238342583,1.18265180351479,1.22932134456858,1.3484235949458,1.05661231125677,1.19265431669072,1.13480414853505,1.09426707912467,1.32055922304842,1.17550104729123,1.52227144119267,1.44668121459292,1.27356055648903,1.33645248766021,1.24680068591363,1.39503644042794,1.2199396697483,1.35911011152342
"Донцова 2000 Бассейн с крокодилами",0.686852733653443,0.522215884506088,0.759830761138873,0.893991550316554,0.596854934608427,0.827252929516224,0,0.446941460533536,0.807259239700659,0.723746443029538,0.827765734235628,0.863088965003874,0.798435261185881,0.881151266374525,1.07483350077675,1.01779096354364,1.03077866884438,0.991931572310062,0.994351811045519,1.02992624456237,1.26554856561437,1.51166380507395,1.35430732025181,1.20245806705155,1.18687833755779,1.38841798882419,1.1676480628368,1.167653462795,1.36375084812585,1.18474521499617,1.33862754893897,1.24823367048692,1.51251266988694,1.46717945061452,1.23252287512355,1.41960243979703,1.13043698933033,1.43579944629396,1.31677544910081,1.40693871082226
"Донцова 2000 Спят усталые игрушки",0.628489385633151,0.526488948274228,0.680476192422501,0.807943650936503,0.56626322018244,0.790172707745146,0.446941460533536,0,0.739354351140688,0.640739691281323,0.764493768918631,0.881198379273986,0.74836098935436,0.855689255691766,1.01449139420718,1.00999927417618,0.942644568387871,0.980446024664811,0.947143465271694,1.0791688365188,1.22937290132317,1.51425383929163,1.31307257181695,1.15150434458878,1.137954268715,1.42845270574879,1.12939990564246,1.20103358259394,1.34573906226433,1.15194757781074,1.3375902050584,1.24428960324264,1.45563140711306,1.40725936438937,1.27197138996462,1.3246841884135,1.09637348799436,1.43277052744426,1.25464624576481,1.39111825657301
"Донцова 2005 Муха в самолёте",0.557179103835481,0.827909125848571,0.528898848600443,0.6388502649554,0.623381873708739,0.500879343349294,0.807259239700659,0.739354351140688,0,0.550438363648315,0.495189394830824,0.759847309692556,0.628891719737897,0.637651825781453,0.862416495047214,0.771295860688388,0.812603942626771,0.823643413582126,0.73166842301127,0.865774236612101,1.20562178707904,1.35205509842467,1.16851949876312,1.09831577276155,1.16783930685895,1.22353062688924,0.987421264990182,1.19572298230863,1.21373846703569,1.0644558176743,1.28499568608472,1.16294881742402,1.39239602084801,1.30575818835496,1.22930492020691,1.31524033665055,1.11926961257192,1.41142502836847,1.2716902563748,1.28246701486025
"Донцова 2006 Безумная кепка Мономаха",0.681739084966053,0.789129365628036,0.531480611922426,0.678706819856923,0.591712436288638,0.608930611194027,0.723746443029538,0.640739691281323,0.550438363648315,0,0.597504116925992,0.766090480672841,0.717922326037933,0.715530343771718,0.919671768121407,0.822873927679125,0.82564997053102,0.837085624480187,0.817072357339724,0.84853584632939,1.16913181318102,1.38515860830781,1.25172162233316,1.11239588083577,1.06083166835452,1.22571717606557,1.04378444318124,1.12982365428203,1.21178599176493,0.998570758903259,1.32911131979138,1.26124371773792,1.46456890782959,1.28125193301512,1.22109365080152,1.37982516605865,1.15626447087397,1.36417972544321,1.27584253966311,1.34201754084728
