"","Донцова 2002 Букет прекрасных дам","Донцова 1999 Дама с коготками","Донцова 2008 Инь, янь и всякая дрянь","Донцова 2012 Клеопатра с парашютом","Донцова 2001 Созвездие жадных псов","Донцова 2003 Микстура от косоглазия","Донцова 2000 Бассейн с крокодилами","Донцова 2000 Спят усталые игрушки","Донцова 2005 Муха в самолёте","Донцова 2006 Безумная кепка Мономаха","Донцова 2007 Зимнее лето весны","Донцова 2017 Астральное тело холостяка","Донцова 2009 Император деревни Гадюкино","Донцова 2010 Страстная ночь в зоопарке","Донцова 2022 Бегемот под майонезом","Донцова 2015 Шуры муры с призраком","Донцова 2011 Тормоза для блудного мужа","Донцова 2019 Бинокль для всевидящего ока","Донцова 2014 Самовар с шампанским","Донцова 2019 Гиблое место в ипотеку","Маринина 2013 Оборванные нити. Том 3","Маринина 2007 Всё не так","Маринина 1995 Смерть ради смерти","Маринина 2000 Седьмая жертва","Маринина 2021 Отдалённые последствия. Том 1","Полякова 2008 Испанская легенда","Полякова 1999 Капкан на спонсора","Полякова 2001 Неопознанный ходячий объект","Полякова 2020 Четыре всадника раздора","Полякова 2012 Я смотрю на тебя издали","Трауб 2012 Замочная скважина","Трауб 2010 Плохая мать","Трауб 2021 Посмотри на меня","Трауб 2016 Продаётся дом с дедушкой","Трауб 2006 Собирайся, мы уезжаем","Устинова 2003 Близкие люди","Устинова 2021 Девчонки, я приехал","Устинова 2008 Жизнь, по слухам, одна!","Устинова 2012 Один день, одна ночь","Устинова 1999 Персональный ангел"
"Донцова 2002 Букет прекрасных дам",0,0.790642047036689,0.756069433039046,0.765839856412877,0.793247586800505,0.682435385075801,0.817415500240251,0.693490990803257,0.704132134573033,0.79981944236365,0.789382135062496,0.790707327822094,0.798356651677452,0.850852024065076,0.863345578144871,0.909554694660839,0.835603954164116,0.896506401906739,0.913582640401209,0.848709200219629,1.11609819962895,1.28969755044801,1.15088291203301,1.07527643015635,1.08041321334463,1.2503194778875,1.15712200511749,1.27667907824626,1.11153999564749,1.17444730590599,1.12686948328899,1.17249409935705,1.34586407536888,1.38750520461036,1.20767443233321,1.25229345914625,1.08777705372621,1.2166923205912,1.11669828595695,1.25296070237697
"Донцова 1999 Дама с коготками",0.790642047036689,0,0.821856741652903,0.868817756104975,0.683259563293282,0.847285251392207,0.598322323636658,0.578419579852338,0.809646189909335,0.743937594334643,0.86825433281421,0.819160217700071,0.893507983097301,0.969987522395275,0.924872418317533,1.03640631691447,0.966059157929931,1.04818112913702,1.06258494800624,0.978074463266741,1.17599469982449,1.38472668810204,1.25263296461613,1.21200876881131,1.10484348260328,1.18539672908314,1.13116371100479,1.07582285145184,1.2196189978447,1.17668495581941,1.17987875016619,1.15548822036611,1.42126320784882,1.40949303198515,1.17721235348758,1.27388236378943,1.03880900673196,1.19024770425987,1.12178525294774,1.212760359169
"Донцова 2008 Инь, янь и всякая дрянь",0.756069433039046,0.821856741652903,0,0.582645570234242,0.784939931089759,0.75548966668886,0.881566143720178,0.778674928726412,0.668195526269291,0.637901010487617,0.600369579583741,0.695334300302414,0.561580731318433,0.640664307138591,0.78955640519311,0.697015314943184,0.675705645024325,0.716839064388204,0.684861266091393,0.7215208180937,1.16916113092957,1.36432139770873,1.10270624807512,1.09084596682629,1.06254717290502,1.29974711104191,1.02068622670788,1.12041575402301,1.14536686582714,1.0850017144296,1.2402691265349,1.26158853808229,1.43300162906968,1.36023592620906,1.27722166972379,1.30691266354263,1.16844245387828,1.32039398620667,1.19361949110031,1.24260590293082
"Донцова 2012 Клеопатра с парашютом",0.765839856412877,0.868817756104975,0.582645570234242,0,0.819378467466974,0.787501232015051,0.950005108032019,0.768504927492668,0.723474850860328,0.649619096136763,0.723139652384696,0.688999725623786,0.495295258116643,0.603745130701888,0.790766475523091,0.66806731431,0.581792021418939,0.75595368809418,0.619552874004438,0.727172486495168,1.10449693887929,1.35019895917929,1.1894310142078,1.16143762491887,1.15432500502908,1.28928400848722,1.16151007323617,1.13416271988773,1.160626871147,1.02303808238445,1.19417231767402,1.18813278857373,1.49109249877995,1.42322656260115,1.20743866616726,1.33699650866675,1.1673022868648,1.29078729504966,1.19645592023106,1.20402100873941
"Донцова 2001 Созвездие жадных псов",0.793247586800505,0.683259563293282,0.784939931089759,0.819378467466974,0,0.749792097123089,0.74357071702017,0.682472395417376,0.667401218179149,0.687691299649786,0.755730098203092,0.842476631976794,0.855169076692796,0.876803591638413,1.00335282779512,0.980149716941149,0.989410301005468,0.970834435064197,1.04829251781151,0.958332658600176,1.22266638780665,1.43320048732673,1.27363169733338,1.22986008315338,1.15571174551089,1.33090995381679,1.14808298902198,1.09646785045202,1.23814012164779,1.11670557327445,1.28594181805238,1.25815661213078,1.57156641045218,1.4103030669057,1.20563865490808,1.341487924476,0.981962599639881,1.20903778245387,1.10202934184717,1.41294724685342
"Донцова 2003 Микстура от косоглазия",0.682435385075801,0.847285251392207,0.75548966668886,0.787501232015051,0.749792097123089,0,0.874858243130324,0.813302137945199,0.657739132981867,0.788162152411319,0.707500477524455,0.845206971099079,0.955069808217717,0.968583371840233,0.9109785004008,0.8660808068941,0.97489494040775,0.84937956031549,0.897128120346396,0.827308487070416,1.28227959419016,1.40941833771816,1.28022737412635,1.26196902939394,1.2062371640397,1.34313604515932,1.1393505985194,1.20104536079589,1.18558332817341,1.18487887436385,1.31386381537413,1.2486223957262,1.59793418941277,1.51017760698196,1.27006409711309,1.36497413104405,1.19417004491984,1.37595960131044,1.20092685557019,1.40765115115403
"Донцова 2000 Бассейн с крокодилами",0.817415500240251,0.598322323636658,0.881566143720178,0.950005108032019,0.74357071702017,0.874858243130324,0,0.508711134934485,0.86856118753032,0.754522685806705,0.900550502913585,0.932782940859974,0.945110364238477,0.939206238188844,1.07745779614614,1.10735990693578,0.979437847476496,1.01896602361642,1.14657585846409,1.01831985503111,1.20137135094568,1.48268838770015,1.35584367849136,1.29751523649003,1.12427557864269,1.3447041356942,1.19434200926948,1.12579787459269,1.26422545870958,1.22589558057658,1.27318638249256,1.21302765535873,1.40626568163667,1.43228536176413,1.26251446727562,1.3319595736309,1.10716268277032,1.25138147144447,1.18772882485012,1.3251218075678
"Донцова 2000 Спят усталые игрушки",0.693490990803257,0.578419579852338,0.778674928726412,0.768504927492668,0.682472395417376,0.813302137945199,0.508711134934485,0,0.80527338387956,0.651298809423684,0.862460820729157,0.867825443453067,0.82191552417693,0.881776537015416,0.989426303301482,0.99284323715646,0.835757441765977,0.955253632174716,1.00959324043178,0.962645540864651,1.16797094505288,1.44883886376143,1.26084745231577,1.1807871193135,1.11921462118561,1.31121268070747,1.17963496567177,1.1203214841724,1.22470264295792,1.1685664266043,1.18341062208275,1.19215283738243,1.39771092688294,1.41727174565152,1.23200078157657,1.28248783350733,1.00141400501118,1.18313097807079,1.07490190156633,1.24458792669908
"Донцова 2005 Муха в самолёте",0.704132134573033,0.809646189909335,0.668195526269291,0.723474850860328,0.667401218179149,0.657739132981867,0.86856118753032,0.80527338387956,0,0.696799962736196,0.558167832827306,0.84631098507101,0.711629093662386,0.746292085838095,0.91589947922792,0.877622865010508,0.88937344010925,0.956309358244664,0.922184620331916,0.956544820558527,1.18772600183161,1.31987450987024,1.19739559500589,1.22369411543338,1.14958701776529,1.21928517789957,1.04789811242496,1.09666955957448,1.20070694390359,1.02507922881619,1.25999394705112,1.19252521970301,1.42579391793394,1.3706278507102,1.24881567278852,1.35550727362213,1.06832198052267,1.3078828570886,1.26676696301984,1.33919899530905
"Донцова 2006 Безумная кепка Мономаха",0.79981944236365,0.743937594334643,0.637901010487617,0.649619096136763,0.687691299649786,0.788162152411319,0.754522685806705,0.651298809423684,0.696799962736196,0,0.641872026121319,0.802583779547877,0.682986922259572,0.741391042449217,0.955009308006345,0.856499394065206,0.840087222031534,0.894097358705838,0.869926279089082,0.94338450921773,1.13162441784307,1.42825290644936,1.29862892424359,1.24167431696251,1.13439945296051,1.25605730159438,1.19683435708822,1.13839276288553,1.2280506412087,1.06286148821688,1.26258718284277,1.25039466909884,1.44999420356164,1.36560903636125,1.20474927349263,1.34998537203935,1.09756668755578,1.21715702262955,1.13095066355098,1.33432888223924
