автор,название,серия,год,папка,имя_файла,conllu_cache,Number of Sentences,Number of Words,Number of Clauses,Mean Sentence Length,Mean Clause Length,Mean Number of Clauses per Sentence,Mean Tree Depth,Median Tree Depth,Minimum Tree Depth,Maximum Tree Depth,Mean Dependency Distance,Node-to-Terminal-Node Ratio,Average Levenshtein Distance between POS,Average Levenshtein Distance between deprel,Average NP Length,Complex NP Ratio,Number of Combined Clauses,Number of Coordinate Clauses,Number of Subordinate Clauses,Coordinate to Combined Clause Ratio,Subordinate to Combined Clause Ratio,Coordinate to Subordinate Clause Ratio,Coordinate Clause to Sentence Ratio,Subordinate Clause to Sentence Ratio,root_ratio,acl_ratio,acl:relcl_ratio,advcl_ratio,advcl:relcl_ratio,ccomp_ratio,csubj_ratio,csubj:outer_ratio,nsubj:outer_ratio,parataxis_ratio,xcomp_ratio,conj_ratio,__compute_seconds__
Дарья Донцова,Алые паруса Синей бороды,Виола Тараканова,2022,viola,ВТ_Алые паруса Синей бороды.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Алые паруса Синей бороды.txt.russian-syntagrus-ud-2.12-230717.conllu,4128,36799,9525,8.91,3.86,2.31,3.89,4.0,2,11,2.7,1.82,9.84,9.96,1.62,0.42,5397,3424,1973,0.63,0.37,1.74,0.83,0.48,0.43338582677165355,0.013648293963254593,0.028031496062992125,0.04062992125984252,0.0,0.0384251968503937,0.022782152230971128,0.0,0.0,0.14908136482939632,0.06362204724409448,0.21039370078740158,8.11
Дарья Донцова,Билет на ковер-вертолет,Виола Тараканова,2006,viola,ВТ_Билет на ковер-вертолет.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Билет на ковер-вертолет.txt.russian-syntagrus-ud-2.12-230717.conllu,4298,36872,9838,8.58,3.75,2.29,3.78,3.0,2,12,2.72,1.79,9.16,10.61,1.66,0.44,5540,3620,1920,0.65,0.35,1.89,0.84,0.45,0.4368774141085586,0.025208375686115066,0.012909127871518601,0.050213458019922746,0.0,0.02236226875381175,0.02154909534458223,0.0,0.0,0.1926204513112421,0.06291929253913398,0.17534051636511486,6.88
Дарья Донцова,Бинокль для всевидящего ока,Виола Тараканова,2019,viola,ВТ_Бинокль для всевидящего ока.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Бинокль для всевидящего ока.txt.russian-syntagrus-ud-2.12-230717.conllu,4555,36848,9674,8.09,3.81,2.12,3.7,3.0,2,11,2.66,1.81,8.83,8.99,1.63,0.42,5119,3383,1736,0.66,0.34,1.95,0.74,0.38,0.4708497002274137,0.012094273309902832,0.023775067190407277,0.038867066363448416,0.0,0.031010957204879057,0.022741368616911308,0.0,0.0,0.16559851147405416,0.05096133967335125,0.184101715939632,6.06
Дарья Донцова,Блеск и нищета инстаграма,Виола Тараканова,2020,viola,ВТ_Блеск и нищета инстаграма.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Блеск и нищета инстаграма.txt.russian-syntagrus-ud-2.12-230717.conllu,4528,36836,9892,8.14,3.72,2.18,3.72,3.0,2,13,2.66,1.81,9.55,9.49,1.61,0.41,5364,3419,1945,0.64,0.36,1.76,0.76,0.43,0.4577436312171452,0.011120097048119693,0.02699150828952689,0.03801051354630004,0.0,0.03679741205014153,0.022644561261625555,0.0,0.0,0.16093813182369593,0.06105944197331177,0.18469470279013345,6.12
Дарья Донцова,Буря в стакане беды,Виола Тараканова,2024,viola,ВТ_Буря в стакане беды.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Буря в стакане беды.txt.russian-syntagrus-ud-2.12-230717.conllu,4804,36802,9884,7.66,3.72,2.06,3.69,3.0,2,12,2.56,1.81,8.02,7.79,1.63,0.42,5080,3184,1896,0.63,0.37,1.68,0.66,0.39,0.4860380412788345,0.010218535006070418,0.021954674220963172,0.03935653581545933,0.0,0.03510724403075678,0.023168757588021043,0.0,0.0,0.16572237960339944,0.062019425333872925,0.15641440712262242,6.26
Дарья Донцова,В когтях у сказки,Виола Тараканова,2016,viola,ВТ_В когтях у сказки.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_В когтях у сказки.txt.russian-syntagrus-ud-2.12-230717.conllu,3969,36792,9447,9.27,3.89,2.38,3.94,4.0,2,17,2.73,1.82,10.28,11.26,1.66,0.44,5478,3541,1937,0.65,0.35,1.83,0.89,0.49,0.4201333756748174,0.022123425426061185,0.026145866412617763,0.0450936805335027,0.0,0.02953318513813909,0.022017571715888643,0.0,0.0,0.17973959987297555,0.0601249073780036,0.19508838784799407,7.41
Дарья Донцова,Вечный двигатель маразма,Виола Тараканова,2018,viola,ВТ_Вечный двигатель маразма.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Вечный двигатель маразма.txt.russian-syntagrus-ud-2.12-230717.conllu,4610,36805,9538,7.98,3.86,2.07,3.63,3.0,2,12,2.69,1.8,8.87,8.82,1.63,0.43,4928,3156,1772,0.64,0.36,1.78,0.68,0.38,0.48332983854057454,0.011218284755713986,0.02442860138393793,0.03554204235688824,0.0,0.03375969804990564,0.023694694904592157,0.0,0.0,0.14678129586915495,0.05713986160620675,0.18410568253302578,6.42
Дарья Донцова,Вставная челюсть Щелкунчика,Виола Тараканова,2016,viola,ВТ_Вставная челюсть Щелкунчика.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Вставная челюсть Щелкунчика.txt.russian-syntagrus-ud-2.12-230717.conllu,4033,36795,9549,9.12,3.85,2.37,3.84,4.0,2,12,2.81,1.81,10.33,10.65,1.63,0.42,5516,3594,1922,0.65,0.35,1.87,0.89,0.48,0.422347889831396,0.020106817467797675,0.01633678919258561,0.04293643313435962,0.0,0.03550109959158027,0.025552413865326213,0.0,0.0,0.15844591056655147,0.060844067441616925,0.21792857890878625,6.99
Дарья Донцова,Гимназия неблагородных девиц,Виола Тараканова,2018,viola,ВТ_Гимназия неблагородных девиц.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Гимназия неблагородных девиц.txt.russian-syntagrus-ud-2.12-230717.conllu,4562,36825,9664,8.07,3.81,2.12,3.69,3.0,2,12,2.66,1.8,8.83,9.67,1.65,0.43,5102,3135,1967,0.61,0.39,1.59,0.69,0.43,0.4720612582781457,0.013451986754966887,0.027317880794701987,0.042322019867549666,0.0,0.03797599337748345,0.024834437086092714,0.0,0.0,0.1450745033112583,0.05763658940397351,0.17932533112582782,6.58
Дарья Донцова,Главбух и полцарства в придачу,Виола Тараканова,2004,viola,ВТ_Главбух и полцарства в придачу.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Главбух и полцарства в придачу.txt.russian-syntagrus-ud-2.12-230717.conllu,4008,36844,9478,9.19,3.89,2.36,3.87,4.0,2,11,2.76,1.79,9.5,10.01,1.64,0.44,5470,3405,2065,0.62,0.38,1.65,0.85,0.52,0.42287402405570795,0.02648238024899768,0.010550749103186326,0.059295209959907155,0.0,0.029858619962017302,0.025743827811774637,0.0,0.0,0.16722937328550327,0.06594218189491453,0.19202363367799113,6.93
