автор,название,серия,год,папка,имя_файла,conllu_cache,Number of Sentences,Number of Words,Number of Clauses,Mean Sentence Length,Mean Clause Length,Mean Number of Clauses per Sentence,Mean Tree Depth,Median Tree Depth,Minimum Tree Depth,Maximum Tree Depth,Mean Dependency Distance,Node-to-Terminal-Node Ratio,Average Levenshtein Distance between POS,Average Levenshtein Distance between deprel,Average NP Length,Complex NP Ratio,Number of Combined Clauses,Number of Coordinate Clauses,Number of Subordinate Clauses,Coordinate to Combined Clause Ratio,Subordinate to Combined Clause Ratio,Coordinate to Subordinate Clause Ratio,Coordinate Clause to Sentence Ratio,Subordinate Clause to Sentence Ratio,root_ratio,acl_ratio,acl:relcl_ratio,advcl_ratio,advcl:relcl_ratio,ccomp_ratio,csubj_ratio,csubj:outer_ratio,nsubj:outer_ratio,parataxis_ratio,xcomp_ratio,conj_ratio,__compute_seconds__
Дарья Донцова,Микстура от косоглазия,Виола Тараканова,2003,dontsova,07_Микстура_от_косоглазия.txt,python_syntax part\cache_conllu_udpipe\dontsova__07_Микстура_от_косоглазия.txt.russian-syntagrus-ud-2.12-230717.conllu,2823,24941,6726,8.83,3.71,2.38,3.8,4.0,2,12,2.79,1.8,10.37,10.26,1.59,0.41,3903,2658,1245,0.68,0.32,2.13,0.94,0.44,0.41971454058876,0.02289622360987214,0.01055605114481118,0.049806720190306276,0.0,0.02408563782337199,0.024382991376746953,0.0,0.0,0.18108831400535236,0.053374962830805825,0.21409455842997324,3.19
Дарья Донцова,Муха в самолёте,Виола Тараканова,2005,dontsova,13_Муха_в_самолете.txt,python_syntax part\cache_conllu_udpipe\dontsova__13_Муха_в_самолете.txt.russian-syntagrus-ud-2.12-230717.conllu,2495,25139,6840,10.08,3.68,2.74,3.94,4.0,2,13,2.95,1.79,11.52,12.75,1.59,0.42,4345,2907,1438,0.67,0.33,2.02,1.17,0.58,0.364766081871345,0.025730994152046785,0.007894736842105263,0.060526315789473685,0.0,0.02675438596491228,0.026023391812865497,0.0,0.0,0.17280701754385966,0.06330409356725146,0.25219298245614036,2.77
Дарья Донцова,Зимнее лето весны,Виола Тараканова,2007,dontsova,18_Зимнее_лето_весны.txt,python_syntax part\cache_conllu_udpipe\dontsova__18_Зимнее_лето_весны.txt.russian-syntagrus-ud-2.12-230717.conllu,3380,24641,7047,7.29,3.5,2.08,3.5,3.0,2,13,2.61,1.8,8.32,8.07,1.6,0.42,3667,2468,1199,0.67,0.33,2.06,0.73,0.35,0.47963672484745284,0.01986660990492408,0.009365687526607066,0.04739605505889031,0.0,0.020434227330779056,0.020859940400170286,0.0,0.0,0.17227188874698454,0.052220803178657585,0.17794806300553426,2.96
Дарья Донцова,Страстная ночь в зоопарке,Виола Тараканова,2010,dontsova,27_Страстная_ночь_в_зоопарке.txt,python_syntax part\cache_conllu_udpipe\dontsova__27_Страстная_ночь_в_зоопарке.txt.russian-syntagrus-ud-2.12-230717.conllu,2538,25336,6510,9.98,3.89,2.57,4.13,4.0,2,11,2.71,1.83,10.66,11.19,1.69,0.45,3972,2513,1459,0.63,0.37,1.72,0.99,0.57,0.3898617511520737,0.026881720430107527,0.024423963133640553,0.04393241167434716,0.0,0.03302611367127496,0.030568356374807988,0.0,0.0,0.17557603686635945,0.065284178187404,0.21044546850998463,3.61
Дарья Донцова,Бинокль для всевидящего ока,Виола Тараканова,2019,dontsova,44_Бинокль_для_всевидящего_ока.txt,python_syntax part\cache_conllu_udpipe\dontsova__44_Бинокль_для_всевидящего_ока.txt.russian-syntagrus-ud-2.12-230717.conllu,3114,25081,6593,8.05,3.8,2.12,3.7,3.0,2,10,2.64,1.81,9.17,8.56,1.63,0.42,3479,2260,1219,0.65,0.35,1.85,0.73,0.39,0.47231912634612466,0.013347489761868649,0.025633247383588655,0.04216593356590323,0.0,0.029273471864098285,0.024571515243440013,0.0,0.0,0.16911876232367662,0.049901410586986196,0.17366904292431368,3.32
Дарья Донцова,Дама с коготками,Даша Васильева,1999,dontsova,03-Дама-с-коготками.txt,python_syntax part\cache_conllu_udpipe\dontsova__03-Дама-с-коготками.txt.russian-syntagrus-ud-2.12-230717.conllu,2661,25627,6449,9.63,3.97,2.42,4.08,4.0,2,12,2.61,1.81,9.14,10.21,1.68,0.46,3788,2314,1474,0.61,0.39,1.57,0.87,0.55,0.41262211195534193,0.025585362071639015,0.010854396030392309,0.06466118778105133,0.0,0.03411381609551869,0.02418979686773143,0.0,0.0,0.16033493564893783,0.06915800899364243,0.19848038455574507,2.89
Дарья Донцова,Бассейн с крокодилами,Даша Васильева,2000,dontsova,09-Бассейн-с-крокодилами.txt,python_syntax part\cache_conllu_udpipe\dontsova__09-Бассейн-с-крокодилами.txt.russian-syntagrus-ud-2.12-230717.conllu,2779,25477,6358,9.17,4.01,2.29,3.92,4.0,2,9,2.64,1.8,9.37,9.78,1.72,0.48,3579,2217,1362,0.62,0.38,1.63,0.8,0.49,0.43708713431896823,0.028782636049072035,0.007706826045926392,0.06700220195029884,0.0,0.029097200377477195,0.023435042466184334,0.0,0.0,0.16546083674111356,0.05819440075495439,0.18323372129600504,3.42
Дарья Донцова,Спят усталые игрушки,Даша Васильева,2000,dontsova,10_Спят_усталые_игрушки.txt,python_syntax part\cache_conllu_udpipe\dontsova__10_Спят_усталые_игрушки.txt.russian-syntagrus-ud-2.12-230717.conllu,2774,25465,6366,9.18,4.0,2.29,3.97,4.0,2,13,2.63,1.81,9.54,10.0,1.67,0.46,3592,2283,1309,0.64,0.36,1.74,0.82,0.47,0.43575243480992776,0.030631479736098022,0.007697141061891298,0.06314797360980208,0.0,0.02623311341501728,0.017750549795790136,0.0,0.0,0.1644674835061263,0.060163367891925855,0.1941564561734213,3.44
Дарья Донцова,Тормоза для блудного мужа,Даша Васильева,2011,dontsova,40_Тормоза_для_блудного_мужа.txt,python_syntax part\cache_conllu_udpipe\dontsova__40_Тормоза_для_блудного_мужа.txt.russian-syntagrus-ud-2.12-230717.conllu,2615,25427,6587,9.72,3.86,2.52,4.01,4.0,2,12,2.74,1.81,10.47,11.22,1.65,0.43,3972,2562,1410,0.65,0.35,1.82,0.98,0.54,0.3969940792470017,0.019280400789433733,0.020798542583877335,0.04387429785942007,0.0,0.03248823440109306,0.026567481402763018,0.0,0.0,0.15439502049491421,0.07104903597996053,0.23455290724153635,2.68
Дарья Донцова,Самовар с шампанским,Даша Васильева,2014,dontsova,47-Самовар-с-шампанским.txt,python_syntax part\cache_conllu_udpipe\dontsova__47-Самовар-с-шампанским.txt.russian-syntagrus-ud-2.12-230717.conllu,2750,24924,6641,9.06,3.75,2.41,3.89,4.0,2,13,2.72,1.81,10.1,10.03,1.62,0.42,3891,2559,1332,0.66,0.34,1.92,0.93,0.48,0.414094262912212,0.015359132660743863,0.018220147568137328,0.041710585755157355,0.0,0.03704261406414697,0.023641017918988105,0.0,0.0,0.18777292576419213,0.06459870501430508,0.19756060834211714,2.74
Дарья Донцова,Созвездие жадных псов,Евлампия Романова,2001,dontsova,06_Созвездие_жадных_псов.txt,python_syntax part\cache_conllu_udpipe\dontsova__06_Созвездие_жадных_псов.txt.russian-syntagrus-ud-2.12-230717.conllu,2730,25053,6470,9.18,3.87,2.37,3.91,4.0,2,15,2.82,1.79,9.73,10.32,1.66,0.44,3740,2618,1122,0.7,0.3,2.33,0.96,0.41,0.42194744976816073,0.030293663060278208,0.010200927357032458,0.04358578052550232,0.0,0.02627511591962906,0.020401854714064915,0.0,0.0,0.19629057187017002,0.04265842349304482,0.20834621329211747,3.13
Дарья Донцова,Безумная кепка Мономаха,Евлампия Романова,2006,dontsova,18_Безумная_кепка_Мономаха.txt,python_syntax part\cache_conllu_udpipe\dontsova__18_Безумная_кепка_Мономаха.txt.russian-syntagrus-ud-2.12-230717.conllu,2490,25448,6382,10.22,3.99,2.56,4.08,4.0,2,15,2.85,1.8,11.7,12.31,1.7,0.47,3892,2450,1442,0.63,0.37,1.7,0.98,0.58,0.39015982450642434,0.0322782826700094,0.015512378564713256,0.06016922594797869,0.0,0.024443748041366342,0.02961454089627076,0.0,0.0,0.1743967408335945,0.06392980256972736,0.2094954559699154,3.34
Дарья Донцова,Император деревни Гадюкино,Евлампия Романова,2009,dontsova,27_Император_деревни_Гадюкино.txt,python_syntax part\cache_conllu_udpipe\dontsova__27_Император_деревни_Гадюкино.txt.russian-syntagrus-ud-2.12-230717.conllu,2656,25200,6580,9.49,3.83,2.48,3.95,4.0,2,13,2.77,1.81,10.02,10.56,1.64,0.43,3924,2596,1328,0.66,0.34,1.95,0.98,0.5,0.40364741641337387,0.02446808510638298,0.011702127659574468,0.04635258358662614,0.0,0.025683890577507598,0.028267477203647418,0.0,0.0,0.16945288753799392,0.06534954407294832,0.2250759878419453,2.5
Дарья Донцова,Шуры муры с призраком,Евлампия Романова,2015,dontsova,39_Шуры-муры_с_призраком.txt,python_syntax part\cache_conllu_udpipe\dontsova__39_Шуры-муры_с_призраком.txt.russian-syntagrus-ud-2.12-230717.conllu,2717,25239,6740,9.29,3.74,2.48,3.85,4.0,2,11,2.83,1.8,10.33,10.0,1.6,0.41,4023,2684,1339,0.67,0.33,2.0,0.99,0.49,0.4031157270029674,0.013946587537091989,0.013946587537091989,0.04183976261127596,0.0,0.03412462908011869,0.026112759643916916,0.0,0.0,0.16038575667655786,0.06869436201780416,0.2378338278931751,2.83
