"dontsova__01_Букет_прекрасных_дам" "dontsova__03-Дама-с-коготками" "dontsova__03_Инь,_янь_и_всякая_дрянь" "dontsova__04_Клеопатра_с_парашютом" "dontsova__06_Созвездие_жадных_псов" "dontsova__07_Микстура_от_косоглазия" "dontsova__09-Бассейн-с-крокодилами" "dontsova__10_Спят_усталые_игрушки" "dontsova__13_Муха_в_самолете" "dontsova__18_Безумная_кепка_Мономаха" "dontsova__18_Зимнее_лето_весны" "dontsova__22_Астральное_тело_холостяка" "dontsova__27_Император_деревни_Гадюкино" "dontsova__27_Страстная_ночь_в_зоопарке" "dontsova__32_Бегемот_под_майонезом" "dontsova__39_Шуры-муры_с_призраком" "dontsova__40_Тормоза_для_блудного_мужа" "dontsova__44_Бинокль_для_всевидящего_ока" "dontsova__47-Самовар-с-шампанским" "dontsova__47_Гиблое_место_в_ипотеку" "marinina__03_Оборванные_нити" "marinina__05_Все_не_так" "marinina__05_Смерть_ради_смерти" "marinina__21_Седьмая_жертва" "marinina__35_Отдаленные_последствия._Том_1" "polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008)" "polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999)" "polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001)" "polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020)" "polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012)" "traub__Маша_Трауб_-_Замочная_скважина_-_2012" "traub__Маша_Трауб_-_Плохая_мать_-_2010" "traub__Маша_Трауб_-_Посмотри_на_меня_-_2021" "traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016" "traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006" "ustinova__Близкие_люди" "ustinova__Девчонки,_я_приехал!" "ustinova__Жизнь,_по_слухам,_одна!" "ustinova__Один_день,_одна_ночь" "ustinova__Персональный_ангел"
"и" 2.84023668639053 3.59544447467641 2.69061876247505 2.9663166933375 3.48883414130176 2.65469061876248 3.27984069345203 3.35324198774251 2.8259320826407 3.11998434135839 2.65901559848056 2.59404388714734 2.69287041796829 2.36991039144789 2.48734577665296 2.31980115990058 2.57386118413309 2.14421855146125 2.32985653199057 2.36979993648777 4.04957102001907 4.16067781223996 3.21353065539112 3.77344136330785 4.09754984020697 3.13904851256792 3.55464275840278 3.69039715702738 2.63570141771755 3.24419285574858 4.09839271049235 3.15150080858281 3.12559923298178 3.6398689030268 3.58922454064154 3.69457179180953 3.91321344800626 4.8962213943587 4.4541887837526 4.01917545541707
"в" 2.68244575936884 2.96964278773273 2.49500998003992 2.88825572772335 2.54311372486688 2.61077844311377 2.83862402873765 2.88089940274037 2.56866935803055 2.8107261695048 2.58223551281015 3.10344827586207 2.6691446874135 2.75900015720799 2.7720658019614 2.43026788180061 2.65233256169812 2.85895806861499 2.64556607920713 2.54445855827247 2.69971401334604 2.20894167486194 2.41014799154334 2.48012476701282 2.25612539948257 2.81849810406161 2.68573008412655 2.80392080290546 2.72186104801441 2.61565488971306 2.45199640217434 2.35869522344496 2.20901246404602 2.09755157123578 2.96247274992214 2.4309434834534 2.54886630179828 2.42530221242302 2.45018847603662 2.52348993288591
"не" 2.30769230769231 2.02122283981809 2.53892215568862 2.5877210101089 2.07025351664945 2.29940119760479 2.13970559525204 2.0884568841004 2.43805905169002 2.20003914660403 2.56607128424796 2.39811912225705 2.6651903989877 2.22449300424462 2.45571021828535 2.5722965242435 2.92305881429749 2.50555908513342 2.52967270111497 2.67545252461099 2.60819828408008 2.89356229669415 2.63694022679224 2.88713910761155 2.83061938822097 2.56049411672726 2.66203246573719 2.60475651189128 2.96859089840996 2.77181339059145 3.12463337374369 2.96217410168422 3.37488015340364 3.02679776363987 2.51090003114295 2.87398389644412 2.29085222830336 2.562153120961 2.4078775290407 2.48513902205177
"я" 2.30769230769231 1.47704745986707 2.51097804391218 2.24815580968737 1.97091313677184 2.15968063872255 1.72582093631643 1.62001795682555 2.36681706641336 1.51888823644549 2.95401276974056 2.20219435736677 2.76009332120685 2.20877220562805 2.57829800695982 2.6669822858721 2.35806489582925 2.38643583227446 2.76145945729928 2.15941568751985 0.892278360343184 2.48505938421968 1.09552181433788 1.28570885161094 0.627758332065135 3.05695633477972 3.04119435996682 2.018979185379 2.90984569593483 2.85770056607457 0.481013648273435 1.62505423421291 0.820709491850431 0.73645652593021 0.910931174089069 0.816735370035058 0.836591086786552 0.562609290656124 0.750057696745904 0.579098753595398
"на" 1.53846153846154 1.62863917285342 1.74850299401198 1.89688146442371 1.939124215211 1.61676646706587 1.68287064152122 1.66295819182574 1.69001820628513 1.88686631434723 1.6851208276085 1.67319749216301 1.82292696429278 1.82754283917623 1.5540968048086 1.85820807196118 1.84800094165653 1.68757941550191 1.62250729329017 1.75849476024135 1.43755958055291 1.2784628186701 1.38381702863732 1.47590246871315 1.53325216861969 1.52847816738986 1.59169003515147 1.76514234389034 1.60178585415524 1.8153425727113 1.78718079073951 1.60138839585059 1.70661553211889 1.61172161172161 1.97368421052632 1.47166467619525 1.76309616888194 1.89310423477534 1.75782752519425 1.5647171620326
"что" 1.2465483234714 1.1855249348933 0.862275449101796 0.960149877053979 0.977509337995708 0.99001996007984 1.00737964156027 1.00714369364094 0.8430301591071 0.841651986690155 0.73547239957973 1.12460815047022 0.751314800901578 0.958968715610753 1.2337867763366 1.12044817927171 0.859261584337113 1.10387547649301 0.983095552092075 1.2027627818355 1.65490943755958 1.93660639987896 1.7912742648472 1.51013731979155 1.51422918886014 1.8842109378054 1.69043011177377 1.49958995587144 1.58612046682854 1.56158500878392 1.57209338704001 1.53827949355106 1.71812080536913 1.65799113167534 1.41311118031766 1.89544246253419 1.22752150117279 1.72964342735498 1.45395799676898 1.76414189837009
"с" 0.990138067061144 0.963967815913243 1.16167664670659 1.13969009796651 0.96161487721529 1.16167664670659 1.06985279762602 0.968107116368037 1.11216654793002 0.998238402818555 0.957730542309868 1.08542319749216 1.13092648977816 1.09652570350574 1.18633343878519 1.1875172604253 1.26338917879703 1.21108640406607 1.23886024857131 1.17894569704668 1.33079122974261 1.30493985929344 1.48375936959446 1.15257331963939 1.29356262364937 1.34083890387397 1.20067933172716 1.32385675791776 1.33547426960132 1.29221159476869 1.34527394313871 1.12018301581667 1.02780441035475 1.19529593213804 1.44036125817502 1.13649497245444 1.06333072713057 1.15943130844674 1.08854527271329 1.392138063279
"а" 0.856015779092702 0.754071597932134 1.0499001996008 0.901604152843371 1.04506079631249 0.862275449101796 0.816055601108899 0.843190069094742 0.922187920525607 1.0921902524956 1.01430534227754 1.01880877742947 0.968800664320456 0.699575538437353 0.640620056944005 0.860062334793072 0.859261584337113 0.690914866581957 0.727330855612836 0.801841854557002 1.20495710200191 1.15742491867766 1.02633096290602 1.31613983034729 1.12996499771724 0.953832922872444 1.87606145582369 1.56207287069942 1.05741364455236 1.19070856919774 0.981580696883188 1.12807162860411 0.855225311601151 1.25698862540968 0.833073808782311 0.866818199329661 1.35652853792025 1.34950201474949 1.22701746288176 1.00862895493768
"он" 0.276134122287968 0.369261864966766 0.343313373253493 0.261504234807385 0.456965747437018 0.44311377245509 0.390457225410956 0.226412148182847 0.427451911659938 0.411039342337052 0.412187828335893 0.544670846394984 0.371703112024991 0.558088350888225 0.466624485922177 0.698307492010889 0.52183466080747 0.480463786531131 0.451584542221157 0.746268656716418 1.16682554814109 0.465239428095923 1.19930809148568 0.947164213169006 0.715264038959063 1.57929713459208 1.12563687349421 0.730269067051978 1.52345891752174 1.14776498145618 0.484924328340698 0.997909517611328 1.3346116970278 1.56930788509736 0.447679850513859 1.50248487883808 0.824863174354965 1.21265110621151 0.830833141010847 1.31927133269415
"у" 0.686390532544379 0.536401445951724 0.650698602794411 0.764997463018617 0.778828578240483 0.854291417165669 0.62473156065753 0.640199867275637 0.641177867489907 0.712468193384224 0.650610199628223 0.807210031347962 0.624777571276049 0.72708693601635 1.02815564694717 0.946857616285951 0.682700984815788 0.845775095298602 0.84722055708748 1.02810416005081 0.655862726406101 0.695967924956502 0.718816067653277 0.680893149225912 0.681022675391873 0.559008639224424 0.647734902642285 0.542820322568048 0.661862614553145 0.651961741167285 0.711743772241993 0.765195440381809 0.490891658676894 0.655484866011182 0.696823419495484 0.612551527526293 0.664581704456607 0.627233330799057 0.66928225248096 0.544582933844679
